"row_id","x","y","z","Mvir","Mtot"
253,32.3646,23.2308,27.7638,1419000000000,1430200000000
254,9.5211,12.9526,32.6131,1415600000000,1416700000000
255,7.624,34.1392,33.2567,1415000000000,1424500000000
256,22.773,2.2456,10.3886,1413100000000,1488000000000
257,27.5385,8.1259,16.4781,1409400000000,1424000000000
258,24.9962,25.7021,31.3588,1405500000000,1407600000000
259,5.5371,27.2564,23.9204,1402800000000,1445800000000
260,20.9852,19.339,21.9345,1399200000000,1404600000000
261,9.966,29.2018,15.4765,1383500000000,1483300000000
262,1.0361,7.3133,34.9269,1375000000000,1388700000000
263,9.45,11.0276,11.462,1367000000000,1799900000000
264,33.3636,17.9681,12.6162,1362800000000,1414200000000
265,15.0175,27.9804,11.4856,1359400000000,1388300000000
266,20.7777,35.0279,7.2486,1358300000000,1360600000000
267,10.3275,13.4766,12.5087,1353800000000,3923300000000
268,23.0117,9.3287,8.4445,1344200000000,1344500000000
269,6.445,36.0674,31.524,1336400000000,1344800000000
270,13.3918,23.5421,38.5483,1336100000000,2709100000000
271,2.645,11.2583,1.4504,1333200000000,1355500000000
272,26.8676,26.9986,30.2782,1331900000000,1391800000000
273,35.7842,23.5015,5.5297,1326200000000,1387100000000
274,26.3986,21.9934,23.6195,1319400000000,1902400000000
275,5.3539,37.9626,22.6833,1310600000000,1314700000000
276,36.4874,34.8339,5.7402,1308500000000,1408600000000
277,0.5917,37.0087,20.483,1301300000000,2060300000000
278,31.2257,25.0239,3.1453,1298200000000,1384900000000
279,26.8987,16.8297,3.0562,1291500000000,1295700000000
280,36.2863,21.7567,32.3352,1285100000000,1303300000000
281,35.1877,14.0691,20.2363,1282000000000,1324200000000
282,25.4483,9.8515,6.0724,1269800000000,1609300000000
283,33.0092,11.2944,38.428,1261600000000,1278800000000
284,9.2411,33.0548,32.2977,1256600000000,4226700000000
285,8.5943,28.4139,12.9185,1254500000000,1323700000000
286,21.8863,5.3542,8.706,1251500000000,1318000000000
287,25.5207,9.4906,6.55,1250600000000,4141500000000
288,25.1706,18.1162,29.5453,1248600000000,1255400000000
289,9.2854,6.3763,9.6588,1245000000000,1284700000000
290,32.3645,21.566,3.9089,1231500000000,2121800000000
291,18.4866,28.6133,10.2734,1226600000000,1315700000000
292,9.4124,33.8039,32.7197,1225200000000,1270300000000
293,24.4762,17.539,17.8715,1225000000000,1261400000000
294,10.2078,24.8306,20.608,1224400000000,1258000000000
295,20.2157,37.3129,10.4502,1212500000000,1219600000000
296,38.6096,30.5016,5.7145,1210800000000,1210800000000
